City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Sept-Iles,CA,50.2001,-66.3821,34.05,77,100,8.99,overcast clouds
138,Soyo,AO,-6.1349,12.3689,77.29,87,100,4.74,moderate rain
139,Itoman,JP,26.1247,127.6694,69.82,55,20,19.57,few clouds
140,Katobu,ID,-4.9408,122.5276,86.43,68,27,3.85,scattered clouds
141,Manakara,MG,-22.1333,48.0167,81.46,60,32,11.07,scattered clouds
142,Hithadhoo,MV,-0.6,73.0833,81.16,79,100,17.81,light rain
143,Vostok,RU,46.4856,135.8833,10.58,91,100,14.07,light snow
144,Horta,PT,38.5333,-28.6333,64.76,86,30,15.64,scattered clouds
145,Talnakh,RU,69.4865,88.3972,7.84,90,100,7.74,overcast clouds
146,Puri,IN,19.8,85.85,84.72,64,6,4.29,clear sky
147,Severo-Kurilsk,RU,50.6789,156.125,38.16,85,96,19.28,overcast clouds
148,Sola,VU,-13.8833,167.55,82.81,77,36,13.8,scattered clouds
149,Kalaiya,NP,27.0327,85.0022,74.34,47,0,6.76,clear sky
150,Faya,SA,18.3851,42.4509,53.71,52,13,2.21,few clouds
151,Pontianak,ID,-0.0333,109.3333,87.78,70,40,5.75,light rain
152,Isangel,VU,-19.55,169.2667,84.31,84,75,6.91,broken clouds
153,Artvin,TR,41.1667,41.8333,43.88,64,2,4.34,clear sky
154,Sol-Iletsk,RU,51.1631,54.9918,20.03,97,28,6.06,scattered clouds
155,Madang,PG,-5.2246,145.7966,85.82,65,42,7.76,scattered clouds
156,Kodiak,US,57.79,-152.4072,11.71,62,1,6.91,clear sky
157,Mahebourg,MU,-20.4081,57.7,81.25,65,20,8.12,few clouds
158,Atherton,GB,53.5237,-2.4935,47.7,90,56,2.42,broken clouds
159,Imbituba,BR,-28.24,-48.6703,70.83,87,0,10.38,clear sky
160,Gao,ML,16.6362,1.637,71.87,23,0,11.48,clear sky
161,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,73,0,6.91,clear sky
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.96,77,42,4.54,scattered clouds
163,Grand Forks,US,47.9417,-97.4337,21.13,86,75,6.91,broken clouds
164,Seoul,KR,37.5683,126.9778,38.59,45,82,16.26,broken clouds
165,Chokurdakh,RU,70.6333,147.9167,-11.96,99,100,5.64,overcast clouds
166,Ponnani,IN,10.767,75.9252,83.52,73,74,1.41,broken clouds
167,Auki,SB,-8.7676,160.7034,83.79,70,100,3.67,overcast clouds
168,Wabag,PG,-5.4781,143.7021,63.91,87,75,2.89,broken clouds
169,Havoysund,NO,70.9963,24.6622,26.83,74,100,15.3,overcast clouds
170,Kimbe,PG,-5.5502,150.1429,84.38,80,53,3.87,moderate rain
171,Tanout,NE,14.9709,8.8879,74.34,20,0,9.35,clear sky
172,Guerrero Negro,MX,27.9769,-114.0611,68.58,59,100,8.34,overcast clouds
173,Inuvik,CA,68.3499,-133.7218,-14.98,100,97,3.02,overcast clouds
174,Vila Velha,BR,-20.3297,-40.2925,69.75,89,75,2.3,broken clouds
175,Fortuna,US,40.5982,-124.1573,49.12,92,90,4.0,overcast clouds
176,Lashio,MM,22.9333,97.75,71.6,77,85,2.82,overcast clouds
177,Uribia,CO,11.7139,-72.266,78.73,74,100,3.62,overcast clouds
178,Shimoda,JP,34.6667,138.95,58.1,58,1,30.96,clear sky
179,Makat,KZ,47.6469,53.3463,43.99,95,100,6.78,overcast clouds
180,Mariental,NA,-24.6333,17.9667,59.83,52,0,11.01,clear sky
181,Tadine,NC,-21.55,167.8833,80.1,70,93,9.91,overcast clouds
182,Askarovo,RU,53.3372,58.5089,20.35,73,75,17.9,broken clouds
183,Zlobin,HR,45.2924,14.6541,40.37,65,20,24.16,few clouds
184,College,US,64.8569,-147.8028,1.58,68,90,12.66,mist
185,Gamboma,CG,-1.8764,15.8644,70.92,92,51,2.75,broken clouds
186,Magistralnyy,RU,56.1725,107.4458,16.2,79,100,4.38,overcast clouds
187,Abu Kamal,SY,34.4506,40.9171,61.68,54,44,0.63,scattered clouds
188,Wattegama,LK,6.7989,81.4808,85.12,74,100,3.4,overcast clouds
189,Goure,NE,13.9835,10.2704,78.03,21,13,8.16,few clouds
190,Butaritari,KI,3.0707,172.7902,82.33,77,20,12.66,few clouds
191,Nishihara,JP,26.1842,127.7558,69.08,58,75,14.97,broken clouds
192,Bandarbeyla,SO,9.4942,50.8122,80.4,60,88,13.94,overcast clouds
193,Komsomolskiy,UZ,40.4272,71.7189,42.22,29,6,1.72,clear sky
194,Veraval,IN,20.9,70.3667,84.56,62,93,4.83,overcast clouds
195,Aksu,CN,41.1231,80.2644,36.32,38,0,1.36,clear sky
196,Capinopolis,BR,-18.6819,-49.5697,73.69,82,65,2.71,broken clouds
197,Port Hardy,CA,50.6996,-127.4199,43.2,87,100,1.54,overcast clouds
198,Staryy Nadym,RU,65.6118,72.6842,14.77,96,100,5.01,light snow
199,Olinda,BR,-8.0089,-34.8553,80.33,78,40,6.91,scattered clouds
200,Srandakan,ID,-7.9386,110.2506,71.73,80,100,5.19,overcast clouds
201,Polunochnoye,RU,60.8697,60.4153,13.96,83,100,6.11,overcast clouds
202,Waitati,NZ,-45.75,170.5667,56.97,63,29,4.18,scattered clouds
203,Kalengwa,ZM,-13.4659,25.0027,65.05,96,99,2.21,light rain
204,Uelzen,DE,52.9667,10.5667,43.34,92,93,8.01,overcast clouds
205,Umm Lajj,SA,25.0213,37.2685,71.51,35,2,12.93,clear sky
206,Payyannur,IN,12.1,75.2,83.8,72,99,3.33,overcast clouds
207,Ligaya,PH,12.6599,120.8923,87.21,67,60,4.94,broken clouds
208,Lima,PE,-12.0432,-77.0282,64.9,83,75,8.05,broken clouds
209,Ahipara,NZ,-35.1667,173.1667,65.26,68,20,10.38,few clouds
210,Shirokiy,RU,49.758,129.523,23.45,93,100,17.56,light snow
211,Mandalgovi,MN,45.7625,106.2708,27.43,25,31,11.23,scattered clouds
212,Tiksi,RU,71.6872,128.8694,-21.96,97,51,7.56,broken clouds
213,Pacific Grove,US,36.6177,-121.9166,58.5,44,1,1.01,clear sky
214,Geraldton,AU,-28.7667,114.6,75.61,50,0,21.85,clear sky
215,Sitka,US,57.0531,-135.33,35.49,87,90,0.0,light rain
216,The Valley,AI,18.217,-63.0578,79.11,70,96,13.91,overcast clouds
217,Lorengau,PG,-2.0226,147.2712,79.45,87,100,8.19,overcast clouds
218,Luderitz,NA,-26.6481,15.1594,61.34,78,43,11.97,scattered clouds
219,Saint George,US,37.1041,-113.5841,48.79,32,1,1.99,clear sky
220,Cayenne,GF,4.9333,-52.3333,81.09,86,20,1.99,few clouds
